word,subject,interpretation,example_portuguese_sentence,example_libras_sentence,grammar_class,word_origin,video_link,image_link,hand_image_link
PARABENIZAR2,NENHUM,Dar os parabéns; cumprimentar: saudar; desejar felicidades.,Você vai se formar sábado na faculdade e vou parabenizá-lo.,PARABENIZAR VOCÊ FORMAR FACULDADE SÁBADO DEPOIS.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parabenizar2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parabenizar2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
PARABÉNS,NENHUM,Congratulações; felicitações; votos de felicidades.,Você já é pai?! Meus parabéns!,VOCÊ P-A-I JÁ? PARABÉNS!,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parabensSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parabensSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg52.jpg
PARADA,NENHUM,"Desfile comemorativo ao som de bandas marciais, com a participação de autoridades, estudantes e militares.",A parada da Independência do Brasil é sempre no dia sete de setembro.,INDEPENDÊNCIA BRASIL PARADA SEMPRE D-I-A 7 SETEMBRO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parada1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parada1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg64.jpg
PARADA DE ÔNIBUS,TRANPORTE/VEÍCULO,"Espaço definido, muitas vezes com bancos e abrigos, onde os passageiros aguardam a passagem do transporte coletivo para embarque.",Salte do ônibus na terceira parada e procure a casa amarela.,ÔNIBUS PARADA 3 VOCÊ SALTAR PROCURAR CASA PINTAR AMAREL@.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parada_de_onibusSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parada_de_onibusSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg61.jpg
PARADO,NENHUM,O que não funciona; com os ponteiros sem movimento.,Fique parado porque tem uma cobra ali.,FICAR PARAD@ COBRA TER ALI,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paradoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paradoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg
PARAFUSO,NENHUM,"Prego sulcado em hélice, com uma fenda na cabeça, que se fixa com chave.",O parafuso sumiu. Vou comprar outro.,PARAFUSO SUMIR EU COMPRAR OUTRO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parafusoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parafusoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg21.jpg
PARAGUAI,PAÍS/ESTADO/CIDADE,"País localizado na América do Sul, que tem como capital a cidade de Assunção.",Eu já viajei para o Paraguai.,PARAGUAI EU VIAJAR JÁ.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paraguaiSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paraguaiSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg11.jpg
PARAGUAIO,NENHUM,Nascido no Paraguai; natural do Paraguai.,Ele parece paraguaio ou argentino?,EL@ PARECER PARAGUAI@ O-U ARGENTIN@?,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paraguaioSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paraguaioSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg11.jpg
PARAÍBA,PAÍS/ESTADO/CIDADE,"Estado do nordeste do Brasil, cuja capital é a cidade de João Pessoa.",As praias do Paraíba são lindas!,PRAIA PARAÍBA LIND@!,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paraibaSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paraibaSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg11.jpg
PARAÍSO,ESPORTE/DIVERSÃO,"Lugar aprazível, bonito, tranqüilo; o Jardim do Éden, onde, segundo a Bíblia, Deus colocou Adão e Eva.",As praias de Fortaleza são um paraíso!,PRAIA FORTALEZA PARAÍSO!,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paraisoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paraisoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg64.jpg
PARALELO,NUMERAL/DINHEIRO,"Nome dado ao câmbio que funciona à margem do oficial, com a venda da moeda estrangeira a um preço mais alto.",Nós dois vamos pedalar em paralelo.,NÓS-2 PEDALARrapidamente PARALELO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paraleloSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paraleloSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg14.jpg
PARALISIA CEREBRAL,HIGIENE/SAÚDE,"Lesão no encéfalo, capaz de exercer influência sobre a maturação neurológica e provoca a perda do tônus muscular, da postura e do movimento; geralmente surge na primeira infância.","Meu amigo passou mal, foi para o hospital e agora está com uma paralisia cerebral grave.",AMIG@ ME@ PROBLEMA PARALISIA-CEREBRAL M-A-L HOSPITAL FICAR G-R-A-V-E.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paralisia_cerebralSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paralisia_cerebralSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg14.jpg
PARALÍTICO,HIGIENE/SAÚDE,Aquele que sofre uma paralisia; pessoa sem os movimentos totais ou parciais do corpo.,Ela sofreu um acidente de carro e parece que vai ficar paralítica.,EL@ ACIDENTE-CARRO QUEBRAR COLUNA V-A-I PARALÍTIC@.,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paraliticoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paraliticoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg
PARALIZAÇÃO,PROFISSÃO/TRABALHO,"Parada; greve; suspensão de uma atividade, geralmente como resultado de decisão coletiva.",Parece que vai ter paralização de ônibus amanhã.,PARECE AMANHÃ ÔNIBUS PARALIZAÇÃO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paralizacaoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paralizacaoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg
PARANÁ,PAÍS/ESTADO/CIDADE,"Estado da região sul do Brasil, que tem como capital a cidade de Curitiba.",Em dezembro viajarei para o Paraná.,EU VIAJAR PARANÁ DEZEMBRO PRÓXIMO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/paranaSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/paranaSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
PARAR1,NENHUM,Interromper a atividade profissional; deixar temporariamente o trabalho.,Eu parei de trabalhar.,EU TRABALHAR PARAR.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parar1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parar1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
PARAR2,NENHUM,Não dar prosseguimento; abandonar um hábito.,Pare de fumar.,FUMAR PARAR.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parar2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parar2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
PARAR3,NENHUM,Interromper uma atividade; não continuar a fazer.,"Vamos parar, não estou mais com vontade de brincar.",PARAR BRINCAR VONTADE NÃO!,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parar3Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parar3Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
PARAR4,NENHUM,Cessar; interromper; deixar de acontecer.,"Agora parou de chover, vamos ao cinema!",CHOVER-PARAR NÓS-3 IR CINEMA AGORA!,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parar4Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parar4Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
PARAR5,NENHUM,Interromper a marcha; pisar no freio; impedir o movimento.,Eu pedi para o motorista do ônibus parar no ponto!,1s PEDIR 3s MOTORISTA PARAR SOLTAR PONTO-ÔNIBUS!,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parar5Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parar5Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
PARCEIRO,ESPORTE/DIVERSÃO,Companheiro; cúmplice; pessoa que faz dupla com outra.,Nós quatro vamos jogar baralho. Você será meu parceiro.,NÓS-4 JOGAR-BARALHO NÓS-2 PARCEIRO.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parceiroSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parceiroSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg
PARCELA,NUMERAL/DINHEIRO,"Parte de um todo; uma das unidades em que é dividido um valor maior, para ser pago aos poucos.",Você pode pagar um telefone celular em 10 parcelas. É muito barato!,VOCÊ PODER PAGAR PARCELA 10 TELEFONE-CELULAR BARATOmuito!,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/parcelasSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/parcelasSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg64.jpg
