word,subject,interpretation,example_portuguese_sentence,example_libras_sentence,grammar_class,word_origin,video_link,image_link,hand_image_link
A,NENHUM,Primeira letra do alfabeto da língua portuguesa; sinal gráfico elementar com que se representam os vocábulos na língua escrita.,Invente qualquer palavra que comece com a letra A.,VOCÊ INVENTAR QUALQUER PALAVRA COMEÇAR A.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/aSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg
ABACATE,FRUTA,"O fruto do abacateiro. Comestível, tem a polpa amarelada e macia. É consumido puro, com açúcar, em pratos salgados ou em vitaminas.",Você gosta de abacate com leite?,VOCÊ GOSTAR ABACATE LEITE JUNTO?,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacateSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abacateSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg53a.jpg
ABACAXI,FRUTA,"Fruta de casca grossa e áspera. Sua polpa pode ser consumida pura, em forma de sucos, doces e sorvetes.","Hoje tomei suco de abacaxi, ele estava ácido.",HOJE S-U-C-O ABACAXI BEBER ÁCID@.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacaxiSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abacaxiSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg47.jpg
ABAFAR,NENHUM,"Cobrir ou fechar, para manter o calor.","Se você quer abafar seu quarto, é melhor fechar tudo.",S-I VOCÊ QUERER QUARTO SE@ ABAFAR A-R? MELHOR FECHAR-TUDO.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abafarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abafarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg07.jpg
ABAIXO,NENHUM,"Lugar, posição ou situação inferior, em relação a outros de nível mais elevado.","Não é no primeiro apartamento abaixo, é no segundo.",APARTAMENTO PRIMEIR@ NÃO SEGUND@ ABAIXO.,ADV.,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abaixoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg62.jpg
ABAIXO-ASSINADO,NENHUM,"Lista encaminhada a determinado destinatário, com a assinatura de pessoas que reivindicam ou manifestam sua opinião sobre um assunto.",Os surdos fizeram um abaixo-assinado pedindo mais empregos ao governo.,SURD@ ABAIXO-ASSINADO PEDIR GOVERNO EMPREGO MAIS.,LOC. SUBST.,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixo-assinadoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abaixo-assinadoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg20.jpg
ABAJUR,CASA,Quebra-luz; peça usada para oferecer iluminação indireta em ambientes.,A lâmpada do abajur queimou.,coisa-cônicaLÂMPADA LÂMPADA-QUEIMAR .,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abajurSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abajurSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg51b.jpg
ABANAR,NENHUM,Agitar seguidamente um leque ou abano.,Está vendo aquela velha se abanando? Ela é avó da minha amiga.,2sOLHAR3s VELH@ ABANAR-LEQUE LÁ(ME) V-O-V-O AMIG@(MD).,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abanarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abanarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg04.jpg
ABANDONAR1,NENHUM,"Desprezar, largar, deixar de cuidar.",O carro velho foi abandonado naquela garagem.,AQUEL@ CARAGEM CARRO VELH@ ABANDONAR.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abandonar1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg33.jpg
ABANDONAR2,NENHUM,"Deixar pessoa ou algum objeto, sem intenção de retomá-lo.",Coitada dessa criança tão bonita dormindo na rua. Como seus pais tiveram coragem de abandoná-la?!,CRIANÇA BONIT@ DORMIR R-U-A COITAD@! P-A-I M-Ã-E DEL@ ABANDONAR CORAGEM?!,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abandonar2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg64.jpg
ABARROTADO,NENHUM,Muito cheio; ocupado acima da capacidade normal.,Ontem o metrô estava abarrotado de gente.,ONTEM METRÔ PESSOA MUIT@ ABARROTAD@ pessoaCHEI@,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abarrotadoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abarrotadoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg07.jpg
ABASTADO,NENHUM,Possuidor de bens; rico; endinheirado.,"Ele é rico, abastado.",EL@ RIC@ ABASTAD@.,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abastadoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abastadoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg46b.jpg
ABATIDO,SENTIMENTOS,Deprimido; desanimado.,A família consolou a viúva que estava abatida.,FAMÍLIA CONSOLAR MULHER VIÚV@ ABATID@,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abatidoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abatidoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg53a.jpg
ABATIMENTO,NENHUM,Desconto; redução.,Você pode fazer abatimento dos gastos hospitalares no Imposto de Renda.,HOSPITAL GASTAR VOCÊ I.R. ABATIMENTO PODER.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abatimentoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abatimentoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg14.jpg
ABDICAR,NENHUM,Ato voluntário de renúncia a um cargo conferido por nobreza ou honraria.,O Coronel abdicou de tornar-se major do exército.,HOMEM AQUEL@ CORONEL ABDICAR MAJOR EXERCITO.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abdicarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abdicarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg35a.jpg
ABDÔMEN,CORPO,"Região entre o tórax e a bacia, em cuja cavidade estão os órgãos digestivos, urinários e outros igualmente importantes; ventre; barriga.",O médico me mandou tirar raio-x do abdômen.,MÉDIC@ 3sMANDAR1s RAIO-X ABDÔMEN.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abdomenSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abdomenSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
ABELHA,ANIMAL/INSETO/PEIXE/AVE,Inseto de quatro asas membranosas e aparelho bucal mastigador. Algumas espécies fabricam o mel.,O mel de abelha é bom contra a tosse.,MEL ABELHA BO@ TOSSE.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abelhaSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abelhaSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg20.jpg
ABENÇOAR1,NENHUM,Dar a benção; benzer.,Eu orei a Deus para abençoar minha vida.,EU ORAR DEUS ABENÇOAR VIDA BEM.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abencoar1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abencoar1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg42.jpg
ABENÇOAR2,NENHUM,Dar a benção; benzer.,"No final do culto, o pastor abençoou a todos.",F-I-M CULTO PASTOR ABENÇOARtodos.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abencoar2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abencoar2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg64.jpg
ABERTO1,NENHUM,O que permite a passagem; o que não está fechado.,Ontem você deixou a porta da sala aberta.,ONTEM VOCÊ CASA PORTA-ABERT@ DEIXAR S-A-L-A.,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberto1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/aberto1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg61.jpg
ABERTO2,NENHUM,"Acessível, livre, transponível.",O curso de computação vai estar aberto no sábado.,CURSO COMPUTADOR TER ABERT@ SÁBADO.,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberto2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/aberto2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg53a.jpg
ABERTURA,NENHUM,Início de um evento; solenidade com que são abertos os trabalhos de um evento.,"A abertura do seminário do MEC, na semana passada, foi ótima!",SEMANA PASSAD@ ABERTURA SEMINÁRIO M-E-C ÓTIM@!,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberturaSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/aberturaSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
ABISMAR,NENHUM,Assombrado ou admirado.,"Estou abismado, que casa tão grande e tão bonita!",ABISMAD@ CASA GRANDEmuito BONIT@muito!,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abismarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abismarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
ABÓBORA1,LEGUME/VERDURA,"Tipo de fruto comestível, muito usado em preparações salgadas e doces da culinária brasileira.","Eu já comi doce de abóbora, é gostoso!",DOCE LARANJA^coisa-volumosa-arredondada COMER JÁ GOSTOS@!,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abobora1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abobora1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg51a.jpg
ABÓBORA2,LEGUME/VERDURA,"Tipo de fruto comestível, muito usado em preparações salgadas e doces da culinária brasileira.",Eu nunca comi abóbora verde.,VERDE coisa-sinuosa EU COMER N-U-N-C-A.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abobora2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abobora2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg45.jpg
ABOBRINHA,LEGUME/VERDURA,"Fruto de aboboreira. Legume de casca verde e polpa esverdeada, usado em refogados, cozidos e outras preparações salgadas.",Hoje não encontrei abobrinha na feira.,HOJE FEIRA PROCURAR ENCONTRAR NÃO ABOBRINHA.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abobrinhaSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abobrinhaSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg45.jpg
ABOCANHAR,NENHUM,"Apanhar, pegar com a boca; morder.",O jacaré abocanhou a cobra.,JACARÉ COBRA ABOCANHAR.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abocanharSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abocanharSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg47.jpg
ABOLIÇÃO,NENHUM,Revogação ou anulação de uma lei ou ordem.,"Antigamente os escravos negros sofriam. Mais tarde, conseguiram a abolição da escravatura.",ANTIGAMENTE NEGR@ SOFRER ESCRAV@-ABOLIÇÃO CONSEGUIR.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abolicaoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abolicaoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
ABONAR,NENHUM,Justificar; não descontar.,Meu chefe abonou minha falta e amanhã vou ter folga.,FALTA CHEFE 3sABONAR1s. AMANHÃ FOLGAR.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abonarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abonarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg04.jpg
ABONO,NENHUM,Fiança; garantia; quantia adiantada por conta de um futuro vencimento.,"No BANERJ não tem abono, só paga o salário.",B-A-N-C-O B-A-N-E-R-J TER-NÃO ABON@ SÓ SALÁRIO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abonoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abonoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg04.jpg
ABORRECER,NENHUM,Sentir ou provocar aborrecimento; constranger; amolar.,Não vale a pena se aborrecer.,ABORRECER BO@ NÃO.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aborrecerSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/aborrecerSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg46a.jpg
ABORRECIDO,SENTIMENTOS,"Ser tomado por um sentimento negativo, que expressa contrariedade.",Ontem roubaram meu cachorro e eu fiquei muito aborrecido.,ONTEM ROUBAR ME@ CACHORR@ ABORRECID@muito.,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aborrecidoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/aborrecidoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg46a.jpg
ABORTAR1,NENHUM,"Sofrer a perda do feto, prematuramente e por vontade própria; não cumprir todo o período de gestação.","No Brasil, a mulher grávida só pode abortar em caso de problema de saúde.",BRASIL MULHER-GRÁVIDA PODER ABORTAR S-Ó PROBLEMA SAÚDE.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abortar1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abortar1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
ABORTAR2,NENHUM,"Expulsão prematura do feto por causas naturais, como acidentes e doenças.","Minha esposa caiu e abortou; fiquei triste, porque queria um filho.",ESPOS@ M@ pessoaCAIRchão ABORTAR EU TRISTE QUERER FILH@.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abortar2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abortar2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg
ABORTO,HIGIENE/SAÚDE,Expulsão prematura do feto.,A igreja proibe o aborto.,ABORTO IGREJA PROIBIR.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abortar1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abortar1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
ABOTOAR,NENHUM,"Enfiar os botões nas aberturas correspondentes, ou casas, para fechar uma ou mais peças do vestuário.",Você se esqueceu de abotoar a camisa do seu filho!,CAMISA SE@ FILH@ ABOTOAR ESQUECER!,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abotoarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abotoarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg
ABRACADABRA,ESPORTE/DIVERSÃO,"Expressão comum nas estórias infantis, no teatro e nas apresentações de mágicos, para expressar poderes sobrenaturais.",Eu sei fazer ABRACADABRA e transformar um ovo em pinto!,EU SABER O-V-O ABRACADABRA TRANSFORMAR PINTO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abracadabraSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abracadabraSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg57.jpg
ABRAÇAR,NENHUM,"Envolver uma pessoa com os braços, aproximando-se dela.",Ela abraçou o seu filho.,EL@ ABRAÇAR FILH@ DEL@.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abracarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abracarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
ABRAÇO,NENHUM,Situação em que duas pessoas se abraçam; demonstração de afeto.,Diga a sua esposa que mandei um abraço.,FALAR ABRAÇO ESPOS@ SE@.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abracoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abracoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
ABRAÇO2,NENHUM,"Ato de envolver alguém com os braços, para fazer uma saudação ou uma manifestação de carinho.",Um bom abraço é gostoso.,ABRAÇO BO@ GOSTOS@.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abraco2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abraco2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg62.jpg
ABREVIAR,NENHUM,Encurtar; reduzir; usar menos tempo.,Você fará a palestra no congresso de amanhã? Precisa abreviar.,AMANHÃ CONGRESSO VOCÊ PALESTRA? PRECISAR ABREVIAR.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abreviarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abreviarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg12.jpg
ABRIDOR DE LATA1,APARELHO/MÁQUINA,"Objeto cortante usado para remover a parte superior de latas de conservas, doces e outras, dando acesso ao seu conteúdo.",Eu abri a lata de tomate e ele estava podre.,EU ABRIDOR-DE-LATA-ABRIR TOMATE PODRE.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abridor%20de%20lata1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abridor%20de%20lata1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg
ABRIDOR DE LATA2,APARELHO/MÁQUINA,"Objeto cortante usado para remover a parte superior de latas de conservas, doces e outras, dando acesso ao seu conteúdo.",Fui convidada pela empresa Arno para assistir ao lançamento do novo abridor de latas automático.,EMPRESA A-R-N-O 3sCONVIDAR1s ASSISTIR LANÇAMENTO ABRIDOR-DE-LATA NOV@ AUTOMÁTIC@.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abridor%20de%20lata2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abridor%20de%20lata2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg10.jpg
ABRIGAR,NENHUM,"Proteger contra os perigos, o frio ou a chuva.",Meu cunhado construir um teto para abrigar o carro.,ME@ CUNHAD@ CONSTRUIR TETO CARRO veículoABRIGAR.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrigarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abrigarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg53a.jpg
ABRIGO,NENHUM,"Proteção contra os perigos, a chuva, o frio, o calor.","Nós dois vamos procurar um abrigo, pois vai chover forte.",V-A-I CHOVER FORTE NÓS-2 PROCURAR ABRIGO.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrigoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abrigoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg53a.jpg
ABRIL,ANO SIDERAL,"Quarto mês do calendário anual, seguinte ao mês de março e anterior ao de maio. Tem 30 dias.",Eu nasci no mês de abril.,EU NASCER ABRIL.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrilSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abrilSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg
ABRIR1,NENHUM,Remover o obstáculo que impede a passagem de uma substância através do gargalo.,Eu abri a garrafa e bebi a água muito gelada.,EU ABRIR-GARRAFA ÁGUA BEBER GELAD@muito.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abrir1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg14.jpg
ABRIR2,NENHUM,Mover e separar as partes juntas para dar passagem à claridade e ao ar; liberar a entrada e a saída de ar e luz.,"Por favor, abra a janela da sala!",FAVOR JANELA S-A-L-A ABRIR!,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abrir2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg
ABRIR3,NENHUM,Separar as partes de mantêm a porta fechada; dar passagem; permitir a entrada e a saída de pessoas e objetos.,Não consigo abrir esta porta!,PORTA EST@ CONSEGUIR-NÃO ABRIR!,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir3Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abrir3Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg61.jpg
ABRIR4,NENHUM,"Retirar a peça que veda potes, vidros, garrafas e similares.",Não abra esta tampa porque está enferrujada!,TAMPA-ABRIR NÃO EVITAR ENFERRUJAD@!,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir4Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abrir4Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg46a.jpg
ABRIR5,NENHUM,Separar as pálpebras; estar pronto para olhar.,"Cinco horas depois da operação do coração, Mauro abriu os olhos.",M-A-U-R-O CORAÇÃO peitoOPERAR HORA 5 DEPOIS ABRIR-OLHO.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir5Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abrir5Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg08a.jpg
ABSOLVER,NENHUM,Perdoar; retirar a culpa.,O juiz absolveu o ladrão por falta de provas.,FALTAR PROVA LADRÃ@ JUIZ ABSOLVER.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absolverSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/absolverSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg64.jpg
ABSORVENTE HIGIÊNICO,HIGIENE/SAÚDE,Produto utilizado pelas mulheres no período de menstruação.,Eu vou à farmácia comprar um absorvente higiênico.,EU COMPRAR ABSORVENTE-HIGIÊNICO FARMÁCIA.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absorvente-higienicoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/absorvente-higienicoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg37a.jpg
ABSORVER1,NENHUM,Recolher o líquido existente em uma superfície.,"Tem muita água no chão, pegue uma esponja para absorver.",CHÃO ÁGUA ESPARRAMAR! PEGAR ESPONJA ABSORVER.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absorver1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/absorver1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg57.jpg
ABSORVER2,NENHUM,Receber e elaborar uma informação; compreender.,Não consegui absorver a aula de História.,AULA HISTORIA ABSORVER CONSEGUIR NÃO.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absorver2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/absorver2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg57.jpg
